wqmAr00001	factoid	what character did natalie portman play in star wars?	 Padmé Amidala
wqmAr00002	factoid	what character did john noble play in lord of the rings?	 Denethor II
wqmAr00003	factoid	what movies does taylor lautner play in?	 Abduction|Eclipse|Valentine's Day|The Twilight Saga: Breaking Dawn - Part 1|New Moon
wqmAr00004	factoid	what movie is josh hutcherson in?	 Cirque du Freak: The Vampire's Assistant|The Hunger Games|7 Days in Havana|Journey to the Center of the Earth|The Forger|Detention|Journey 2: The Mysterious Island|Red Dawn|The Third Rule|The Kids Are All Right
wqmAr00005	factoid	where do the san francisco giants play home games?	 AT&T Park
wqmAr00006	factoid	what movies did sally field win an oscar for?	 Places in the Heart|Sybil|Norma Rae|A Woman Of Independent Means|A Cooler Climate|Brothers & Sisters|ER
wqmAr00007	factoid	who does maggie grace play in taken?	 Kim
wqmAr00008	factoid	what tv show did joey lawrence play on?	 Blossom|Melissa & Joey|Bow|Gimme a Break!|Run of the House|Brotherly Love
wqmAr00009	factoid	what character did brian austin green play on 90210?	 David Silver
wqmAr00010	factoid	where do the ny rangers play?	 Madison Square Garden
wqmAr00011	factoid	who does the author stephenie meyer play in the movie twilight?	 Woman at Wedding
wqmAr00012	factoid	what did shawnee smith play in?	 The Grudge 3|Saw IV|Summer School|Saw II|Saw III|The Island|Saw|The Blob|Who's Harry Crumb?
wqmAr00013	factoid	who plays meg in family guy?	 Mila Kunis
wqmAr00014	factoid	what movie did angelina jolie direct?	 In the Land of Blood and Honey|A Place in Time
wqmAr00015	factoid	where do baltimore ravens play?	 M&T Bank Stadium
wqmAr00016	factoid	what jobs did ben franklin do?	 Diplomat|Statesman|Politician|Political activist|Author|Writer|Printer|Scientist|Librarian|Inventor
wqmAr00017	factoid	who plays lola bunny in the looney tunes show?	 Britt McKillip|Kath Soucie
wqmAr00018	factoid	what stadium did the chicago cardinals play in?	 University of Phoenix Stadium
wqmAr00019	factoid	what movie did james frey write?	 Sugar: The Fall of the West|Kissing a Fool
wqmAr00020	factoid	who did ben stiller play in megamind?	 Bernard
wqmAr00021	factoid	what movies did diana ross play in?	 The Wiz
wqmAr00022	factoid	what character does ellen play in finding nemo?	 Dory
wqmAr00023	factoid	what does nick cannon play in?	 The Nightlife|Up All Night|Soul Train|All That|Short Circuitz|Wild 'n Out|The Nick Cannon Show|Mash Up|America's Got Talent
wqmAr00024	factoid	what shows did kellie martin star in?	 A Pup Named Scooby-Doo|Crisis Center|Father Murphy|Life Goes On|Christy
wqmAr00025	factoid	who played mason capwell?	 Nancy Lee Grahn
wqmAr00026	factoid	who plays captain kirk in 2009?	 Chris Pine
wqmAr00027	factoid	when did the charlotte bobcats first play in the nba?	 2004 NBA Draft
wqmAr00028	factoid	what movies did madonna appear in?	 Shadows and Fog|A League of Their Own|Evita|Four Rooms|Arthur and the Invisibles|Dangerous Game|Dick Tracy|A Certain Sacrifice|Who's That Girl?|Body of Evidence
wqmAr00029	factoid	who voiced meg in the pilot?	 Mila Kunis
wqmAr00030	factoid	who plays lois lane in superman returns?	 Kate Bosworth
wqmAr00031	factoid	who is the voice of stewie griffin from family guy?	 Seth MacFarlane
wqmAr00032	factoid	who played the voice of aladdin?	 Scott Weinger
wqmAr00033	factoid	what movies has taylor lautner been in 2011?	 New Moon|Eclipse|The Twilight Saga|Abduction|Twilight|The Twilight Saga: Breaking Dawn - Part 2
wqmAr00034	factoid	who played maxie jones on general hospital?	 Kirsten Storms
wqmAr00035	factoid	where does drew gordon play?	 Utah Jazz
wqmAr00036	factoid	who voiced darth vader in revenge of the sith?	 Hayden Christensen
wqmAr00037	factoid	who plays princess padme in star wars?	 Catherine Taber
wqmAr00038	factoid	who played dumbledore in the first movie?	 Richard Harris
wqmAr00039	factoid	what has barack obama done wrong?	 President Obama appears to me to have elevated and implemented the artist-activist concept to the role of empowered servant-leader...
wqmAr00040	factoid	who are the broncos players?	 Wesley Woodyard|Peyton Manning|Joe Mays|Knowshon Moreno|Joel Dreessen|Mario Fannin|Manuel Ramírez|Tracy Porter|Andre Caldwell|Jacob Tamme
wqmAr00041	factoid	who plays nathan scott?	 James Lafferty
wqmAr00042	factoid	where did drew stanton play in college?	 Michigan State University
wqmAr00043	factoid	who sang at the mtv movie awards 2011?	 Twisted Sister|Suicidal Tendencies|Guns N' Roses|Red Hot Chili Peppers|AC/DC|Nirvana|Run-D.M.C.|Ice Cube|The Offspring|Metallica
wqmAr00044	factoid	where do houston aeros play?	 Toyota Center
wqmAr00045	factoid	who played lois lane in superman 1?	 Margot Kidder
wqmAr00046	factoid	who played dorothy in the wizard of oz movie?	 Judy Garland
wqmAr00047	factoid	what movies did ron howard do?	 Apollo 13|A Beautiful Mind|Curious George|Happy Days|Cocoon|From the Earth to the Moon
wqmAr00048	factoid	who played luke skywalker in star wars episode 4?	 Mark Hamill
wqmAr00049	factoid	what movies has taylor lautner?	 New Moon|He's a Bully, Charlie Brown|Eclipse|Cheaper by the Dozen 2|Incarceron|The Adventures of Sharkboy and Lavagirl|Dear Eleanor|Abduction|Shadow Fury|Field of Dreams 2: Lockout
wqmAr00050	factoid	where does sam bradford play?	 St. Louis Rams
wqmAr00051	factoid	who does dominic monaghan play in lord of the rings?	 Meriadoc Brandybuck
wqmAr00052	factoid	who played john connor friend in terminator 2?	 Edward Furlong
wqmAr00053	factoid	who is playing bilbo baggins?	 Norman Bird|Martin Freeman|Ian Holm
wqmAr00054	factoid	where did matt barnes play?	 Small forward
wqmAr00055	factoid	what movies did luke perry play in?	 Battle Scars: The Bud Moore Story
wqmAr00056	factoid	what does amanda seyfried play in?	 Boogie Woogie|Jennifer's Body|Chloe|Dear John|Nine Lives|Solstice|Mamma Mia!|American Gun|Mean Girls|Alpha Dog
wqmAr00057	factoid	what voice does hank azaria do on the simpsons?	 Carl Carlson|Chief Wiggum|Apu Nahasapeemapetilon
wqmAr00058	factoid	what instrument does bela fleck play?	 Banjo
wqmAr00059	factoid	who is playing hawkeye in the avengers movie?	 Jeremy Renner
wqmAr00060	factoid	what movie did rihanna play in?	 This Is the End|Battleship|Happy Smekday!
wqmAr00061	factoid	who played juni in spy kids 4?	 Daryl Sabara
wqmAr00062	factoid	who played violet's mother in charlie and the chocolate factory?	 Kansas City Athletics
wqmAr00063	factoid	who plays ferris bueller's best friend?	 Alan Ruck
wqmAr00064	factoid	who plays lois griffin in family guy?	 Alex Borstein
wqmAr00065	factoid	what movies have kenya moore produced?	 Trois|The Confidant|No Turning Back|Senseless|Cloud 9|Waiting to Exhale|I Know Who Killed Me|Hot Parts|Deliver Us from Eva|Brothers in Arms
wqmAr00066	factoid	who does danneel harris play on one tree hill?	 Rachel Gatina
wqmAr00067	factoid	what was omar epps first movie?	 Juice
wqmAr00068	factoid	where did william shakespeare perform most of his plays?	 Globe Theatre, London
wqmAr00069	factoid	who played emma frost?	 Finola Hughes|Tahyna Tozzi|January Jones
wqmAr00070	factoid	who plays the brother in hannah montana?	 Jason Earles
wqmAr00071	factoid	who played emperor palpatine?	 Ron Prather|Ian Abercrombie|Ian McDiarmid
wqmAr00072	factoid	what movies has billy burke been in?	 New Moon|Feast of Love|Without Limits|Dill Scallion|Fracture|Komodo|Ladder 49|Don't Look Down|Untraceable|Mafia!
wqmAr00073	factoid	what is the last movie brittany murphy made?	 8 Mile
wqmAr00074	factoid	what movies have queen latifah played in?	 Taxi|Jungle Fever|Set It Off|Stranger than Fiction|Last Holiday|Brown Sugar|Ice Age: The Meltdown|Ice Age: Dawn of the Dinosaurs|Hairspray|Bringing Down the House
wqmAr00075	factoid	who played alf on the tv show?	 Paul Fusco
wqmAr00076	factoid	what movies does leo howard play in?	 Logan|G.I. Joe: The Rise of Cobra|Aussie & Ted's Great Adventure|Conan the Barbarian|Shorts
wqmAr00077	factoid	who does messi play with?	 FC Barcelona
wqmAr00078	factoid	what is kevin durant play style?	 Small forward
wqmAr00079	factoid	who play luke skywalker?	 Mark Hamill
wqmAr00080	factoid	who is nina dobrev playing in perks of being a wallflower?	 Candace
wqmAr00081	factoid	what jobs did albert einstein have?	 Writer|Author|Mathematician|Professor|Theoretical Physicist|Physicist|Philosopher|Scientist|Peace activist|Pacifist
wqmAr00082	factoid	what are the names of michael jackson movies?	 Michael Jackson: The Trial and Triumph of the King of Pop|Moonwalker|Listen Up! The Lives of Quincy Jones|Maniac Magee|Miss Cast Away|Michael Jackson: Live in Japan|Michael Jackson: Live in Bucharest: The Dangerous Tour|Miles Davis: Live in Montreal|Michael Jackson's Ghosts|The Wiz
wqmAr00083	factoid	what movies did charlie hunnam play in?	 Green Street
wqmAr00084	factoid	what movie did marlee matlin won an academy award for?	 Children of a Lesser God
